# HTM
# based on http://www.htm.net/smartsite.dws?id=NAVIGATIE&kaarttype=0&halte_ids=1,2,3,4,...
# and google geocoding api administrative_area_level_2
company	ovcid	city             	name
3	33359	Den Haag              	Melis Stokelaan
3	33361	Den Haag              	Randveen
3	33362	Den Haag              	Randveen
3	33363	Den Haag              	Erasmusweg
3	33364	Den Haag              	Erasmusweg
3	33371	Den Haag              	Ambachtsweg
3	33372	Den Haag              	Revalidatiecentrum
3	33373	Den Haag              	Revalidatiecentrum
3	33383	Den Haag              	Randveen (Uithof)
3	33399	Den Haag              	Melis Stokelaan
3	33401	Den Haag              	Dedemsvaartweg
3	33402	Den Haag              	Dedemsvaartweg
3	33403	Den Haag              	Zuidwoldepad
3	33404	Den Haag              	Zuidwoldepad
3	33405	Den Haag              	Meppelweg
3	33406	Den Haag              	Meppelweg
3	33407	Den Haag              	Almeloplein
3	33408	Den Haag              	Almeloplein
3	33409	Den Haag              	Gramsbergenlaan
3	33410	Den Haag              	Gramsbergenlaan
3	33411	Den Haag              	Zweeloostraat
3	33412	Den Haag              	Zweeloostraat
3	33413	Den Haag              	Leyweg
3	33414	Den Haag              	Leyweg
3	33417	Den Haag              	Leggelostraat
3	33418	Den Haag              	Leggelostraat
